"sample","trt"
"E1aJ16_A","0-0.5"
"E5aJ16_A","0-0.5"
"E6aJ16_A","0-0.5"
"E6aJ48_A","0-0.5"
"E7aJ16_A","1-2"
"E7aJ26_A","1-2"
"E7aJ61_A","1-2"
"E8aJ16_A","1-2"
"E9aJ16_A","1-2"
"E1aJ5_B","0-0.5"
"E1aJ40_B","0-0.5"
"E6aJ5_B","0-0.5"
"E6aJ40_B","0-0.5"
"E7aJ5_B","1-2"
"E7aJ40_B","1-2"
"E7aJ48_B","1-2"
"E7aJ69_B","1-2"
"E8aJ69_B","1-2"
"E8aJ96_B","1-2"
"E8bJ16_B","1-2"
"E8bJ69_B","1-2"
"E8bJ96_B","1-2"
"E8cJ16_B","1-2"
"E8cJ69_B","1-2"
"E8cJ96_B","1-2"
"E1aJ0_C","0-0.5"
"E1bJ5_C","0-0.5"
"E1bJ16_C","0-0.5"
"E1bJ40_C","0-0.5"
"E4aJ5_C","0-0.5"
"E4aJ16_C","0-0.5"
"E4aJ40_C","0-0.5"
"E5aJ40_C","0-0.5"
"E8aJ0_C","1-2"
"E8aJ5_C","1-2"
"E8aJ40_C","1-2"
"E8aJ111_C","1-2"
"E8bJ5_C","1-2"
"E8bJ40_C","1-2"
"E8bJ82_C","1-2"
"E8bJ111_C","1-2"
"E8cJ5_C","1-2"
"E8cJ40_C","1-2"
"E8cJ111_C","1-2"
"E9aJ5_C","1-2"
"E9aJ40_C","1-2"
"E1cJ5_D","0-0.5"
"E1cJ16_D","0-0.5"
"E1cJ40_D","0-0.5"
"E5aJ5_D","0-0.5"
"E6aJ54_D","0-0.5"
"E6bJ16_D","0-0.5"
"E6bJ40_D","0-0.5"
"E6bJ54_D","0-0.5"
"E7aJ40_D","1-2"
"E7aJ54_D","1-2"
"E7aJ96_D","1-2"
"E7bJ26_D","1-2"
"E7bJ40_D","1-2"
"E7bJ54_D","1-2"
"E7bJ69_D","1-2"
"E8aJ82_D","1-2"
"E8cJ82_D","1-2"
"E1aJ40_E","0-0.5"
"E6aJ40_E","0-0.5"
"E7aJ40_E","1-2"
"E7aJ48_E","1-2"
"E7aJ69_E","1-2"
"E7bJ69_E","1-2"
"E8aJ69_E","1-2"
"E8aJ96_E","1-2"
"E8bJ69_E","1-2"
"E8bJ96_E","1-2"
"E8cJ69_E","1-2"
"E8cJ96_E","1-2"
